,ID,SMILES,filename,time
0,18362109 SCHEMBL7868959,CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.CCCCOC(=O)C(=C)C(C(Cl)(Cl)Cl)O.[O-2].[V+2],Structure2D_CID_18362109.sdf,1600174128.8154883
1,18368606 SCHEMBL6812902,CC(C1=[C-]CC=C1)N(C)C.CC(C1=[C-]CC=C1)N(C)C.[V+2],Structure2D_CID_18368606.sdf,1600094602.6206846
2,18368706 SCHEMBL6812997,CCN(CC)C(C)C1=[C-]CC=C1.CCN(CC)C(C)C1=[C-]CC=C1.[V+2],Structure2D_CID_18368706.sdf,1600174279.5893278
3,"20326355 4-dione; vanadium|SCHEMBL1535065|CTK0H9167""",CC(=O)CC(=O)C.[V],Structure2D_CID_20326355.sdf,1600174347.642184
4,21481400 SCHEMBL11761091,CC(=CCCC(=CCO)C)C.O[V](=O)O,Structure2D_CID_21481400.sdf,1600174396.2358806
5,21481410 SCHEMBL11758923,CC(=CCCC(C)(C=C)O)C.O[V](=O)O,Structure2D_CID_21481410.sdf,1600174419.8023274
6,22034608 SCHEMBL1408845,C(#N)C(C#N)C(=C=[N-])C#N.C(#N)C(C#N)C(=C=[N-])C#N.[V+2],Structure2D_CID_22034608.sdf,1600318106.5524862
7,56836803 SCHEMBL664271,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.[V],Structure2D_CID_56836803.sdf,1600318172.9871254
8,71311352  AcroSeal(R)| SCHEMBL7929736| Vanadium(III) chloride tetrahydrofuran adduct|Vanadium(III) chloride tetrahydrofuran complex (1:3),C1CCOC1.Cl[V](Cl)Cl,Structure2D_CID_71311352.sdf,1600318201.1719742
9,74538  (T-4)-|EINECS 217-292-2|Vanadyl-tris-n-butylester|SCHEMBL7532580|Vanadic acid,CCCCO.CCCCO.CCCCO.O=[V],Structure2D_CID_74538.sdf,1600318238.394118
10,79702  (T-4)-|SCHEMBL820046|DTXSID60904393|EINECS 226-997-4|Vanadic acid (H3VO4) tris(1-methylethyl) ester|Vanadium(V) oxytriisopropoxide,CC(C)O.CC(C)O.CC(C)O.O=[V],Structure2D_CID_79702.sdf,1600318267.7558877
11,87138972 SCHEMBL664269,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[V],Structure2D_CID_87138972.sdf,1600318290.9115653
12,87182181 SCHEMBL967830,C[C-]1C=CC(=C1)C.[Cl-].[Cl-].[V+2],Structure2D_CID_87182181.sdf,1600318350.322977
13,87182182 SCHEMBL967831,CC1=[C-]C(=CC1)C.[Cl-].[Cl-].[V+2],Structure2D_CID_87182182.sdf,1600318386.033423
14,87256861 SCHEMBL1535430,C1=CC(=C(C(=C1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[V],Structure2D_CID_87256861.sdf,1600318418.5844173
15,87373941 SCHEMBL2336906,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.N.[V],Structure2D_CID_87373941.sdf,1600318442.2933965
16,88005703 SCHEMBL6530519,CC1=CC=C(C=C1)N(Cl)Cl.C1C=CC=[C-]1.[V],Structure2D_CID_88005703.sdf,1600318462.9744055
17,88044392 SCHEMBL6809340,CC(C)N(C1=CC=CC1)C(C)C.CC(C)N(C1=CC=CC1)C(C)C.[V],Structure2D_CID_88044392.sdf,1600318512.0072167
18,88044404 SCHEMBL6809392,CCN(CC)C1=CC=CC1.CCN(CC)C1=CC=CC1.[V],Structure2D_CID_88044404.sdf,1600318553.6785388
19,88044998 SCHEMBL6813016,CC=CC=CCC1=CC=CC1.CP(C)C.[V],Structure2D_CID_88044998.sdf,1600318583.887107
20,88045745 SCHEMBL6817486,CP(C)C.C=CC=CC1=CC=CC1.[V],Structure2D_CID_88045745.sdf,1600318619.498739
21,88045775 SCHEMBL6817749,CP(C)C.C1C=CC=C1C(=CC=CC2=CC=CC=C2)C3=CC=CC=C3.[V],Structure2D_CID_88045775.sdf,1600318641.2184818
22,88163373 SCHEMBL7572170,CC(C)N(C(C)C)C(C)C.C[Si](C)(C)C1=[C-]CC=C1.[V+2],Structure2D_CID_88163373.sdf,1600318662.7010026
23,88202555 SCHEMBL7788501,CCC1=C(CC=C1)[CH-]C2=C(C=CC2)CC.[Cl-].[Cl-].[V+2],Structure2D_CID_88202555.sdf,1600318681.1316504
24,88202558 SCHEMBL7788506,CCC1=C(CC=C1)[CH-]C2=C(C=CC2)CC.Cl.[V],Structure2D_CID_88202558.sdf,1600318703.364887
25,88249559 SCHEMBL8102960,CCCCCC=CCC=CCCCCCCCC(=O)O.[V],Structure2D_CID_88249559.sdf,1600318774.5070643
26,88343555 SCHEMBL8671961,CC1=C(CC=C1)C2=CC=C[C-]2CC#C.[Cl-].[Cl-].[V+2],Structure2D_CID_88343555.sdf,1600318794.6986995
27,88343557 SCHEMBL8671966,CC1=[C-]CC=C1.C#CCC1=[C-]C=CC1.[Cl-].[Cl-].[V+4],Structure2D_CID_88343557.sdf,1600318815.6715763
28,88372837 SCHEMBL8837349,CN(Cl)Cl.C1C=CC=[C-]1.[V],Structure2D_CID_88372837.sdf,1600318835.6433306
29,88425754 SCHEMBL9188985,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.[NH2-].[V],Structure2D_CID_88425754.sdf,1600318984.2046063
30,88426008 SCHEMBL9190741,C(=O)C(Br)(Br)Br.[V],Structure2D_CID_88426008.sdf,1600319017.7011144
31,88426643 SCHEMBL9195462,C(CC(Cl)(Cl)Cl)C=O.[V],Structure2D_CID_88426643.sdf,1600319083.9676259
32,88450855 SCHEMBL9359704,CC1=CC(=C(C(=C1)C)I)C.[V],Structure2D_CID_88450855.sdf,1600319103.0224478
33,88484297 SCHEMBL9579651,CC(=O)C(C(=O)C)(C(=O)C)C(=O)C.[V],Structure2D_CID_88484297.sdf,1600319122.1749601
34,88491513 SCHEMBL9632857,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC.[V],Structure2D_CID_88491513.sdf,1600319139.773882
35,88619952 SCHEMBL10494703,C[C-]1C=CC=C1C.C[C-]1C=CC=C1C.[Cl-].[Cl-].[V+4],Structure2D_CID_88619952.sdf,1600319158.7728865
36,88619954 SCHEMBL10494707,CC1=C([C-]=CC1)C.CC1=C([C-]=CC1)C.[Cl-].[Cl-].[V+4],Structure2D_CID_88619954.sdf,1600319182.2239406
37,88619972 SCHEMBL10494812,C[C-]1C=CC(=C1)C.C[C-]1C=CC(=C1)C.[Cl-].[Cl-].[V+4],Structure2D_CID_88619972.sdf,1600319200.7918334
38,88619974 SCHEMBL10494815,CC1=[C-]C(=CC1)C.CC1=[C-]C(=CC1)C.[Cl-].[Cl-].[V+4],Structure2D_CID_88619974.sdf,1600319235.378646
39,88658786 SCHEMBL10733232,CC(=O)C(C(=O)C)(C(=O)C)C(=O)C(=O)O.[V],Structure2D_CID_88658786.sdf,1600319265.5608077
40,88673699 SCHEMBL10821168,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)C(C(CCCCCCC(CC)CCC)Cl)(Cl)Cl.[O-][V](=O)=O,Structure2D_CID_88673699.sdf,1600319293.9181929
41,88703350 SCHEMBL10989883,C1=CC=C(C=C1)C(=S)C(=S)C2=CC=CC=C2.C1=CC=C(C=C1)C(=S)C(=S)C2=CC=CC=C2.[V],Structure2D_CID_88703350.sdf,1600319327.9323535
42,88714743 SCHEMBL11049646,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)S(=O)(=O)O)S(=O)(=O)O.[V],Structure2D_CID_88714743.sdf,1600319351.5382588
43,88746012 SCHEMBL11226760,CC(C)COC(C(C)(C)C)(O)OCC(C)C.[V],Structure2D_CID_88746012.sdf,1600319370.2240696
44,89350654 SCHEMBL14484872,C1=CC(=O)C=CC1=O.[V],Structure2D_CID_89350654.sdf,1600319396.1307943
